Index,Runs,Opposition,Ground,Date,Inns,Position,Dismissal,Match_ID,BF,4s,6s,SR,Match_Type
204,94,v Sri Lanka,Colombo (RPS),05-02-2009,1,3,Caught,ODI # 2815,96,4,2,97.91,ODI
205,53,v Sri Lanka,Colombo (RPS),08-02-2009,2,6,Caught,ODI # 2818,58,1,2,91.37,ODI
206,13,v Sri Lanka,Colombo (RPS),10-02-2009,2,5,Bowled,T20I # 82,17,1,0,76.47,T20
207,2,v New Zealand,Christchurch,25-02-2009,1,6,Bowled,T20I # 84,6,0,0,33.33,T20
208,28,v New Zealand,Wellington,27-02-2009,1,5,Not Out,T20I # 85,30,2,0,93.33,T20
209,84,v New Zealand,Napier,03-03-2009,1,3,Not Out,ODI # 2821,89,6,0,94.38,ODI
210,23,v New Zealand,Wellington,06-03-2009,1,5,Not Out,ODI # 2822,19,2,0,121.05,ODI
211,68,v New Zealand,Christchurch,08-03-2009,1,5,Caught,ODI # 2823,58,5,2,117.24,ODI
212,DNB,v New Zealand,Hamilton,11-03-2009,2,DNB,DNB,ODI # 2824,0,0,0,0,ODI
213,9,v New Zealand,Auckland,14-03-2009,1,6,Bowled,ODI # 2825,21,1,0,42.85,ODI
214,DNB,v New Zealand,Hamilton,18-03-2009,4,DNB,DNB,Test # 1915,0,0,0,0,Test
215,47,v New Zealand,Hamilton,18-03-2009,2,7,Caught,Test # 1915,123,7,0,38.21,Test
216,52,v New Zealand,Wellington,03-04-2009,1,7,Caught,Test # 1918,89,6,1,58.42,Test
217,56,v New Zealand,Wellington,03-04-2009,3,7,Not Out,Test # 1918,83,8,0,67.46,Test
218,26,v Bangladesh,Nottingham,06-06-2009,1,3,Bowled,T20I # 93,21,0,1,123.8,T20
219,14,v Ireland,Nottingham,10-06-2009,2,3,Caught,T20I # 101,13,1,0,107.69,T20
220,11,v West Indies,Lord's,12-06-2009,1,5,Caught,T20I # 105,23,0,0,47.82,T20
221,30,v England,Lord's,14-06-2009,2,6,Not Out,T20I # 109,20,3,0,150,T20
222,5,v South Africa,Nottingham,16-06-2009,2,5,Run Out,T20I # 113,12,0,0,41.66,T20
223,41,v West Indies,Kingston,26-06-2009,1,5,Run Out,ODI # 2852,46,2,1,89.13,ODI
224,95,v West Indies,Kingston,28-06-2009,1,5,Bowled,ODI # 2853,130,6,2,73.07,ODI
225,46,v West Indies,Gros Islet,03-07-2009,2,3,Not Out,ODI # 2854,34,2,1,135.29,ODI
226,DNB,v West Indies,Gros Islet,05-07-2009,DNB,DNB,DNB,ODI # 2855,0,0,0,0,ODI
227,35,v New Zealand,Colombo (RPS),11-09-2009,2,5,Not Out,ODI # 2886,65,4,0,53.84,ODI
228,8,v Sri Lanka,Colombo (RPS),12-09-2009,2,6,Bowled,ODI # 2887,18,0,0,44.44,ODI
229,56,v Sri Lanka,Colombo (RPS),14-09-2009,1,3,Caught,ODI # 2889,62,3,0,90.32,ODI
230,3,v Pakistan,Centurion,26-09-2009,2,5,Lbw,ODI # 2898,9,0,0,33.33,ODI
231,DNB,v Australia,Centurion,28-09-2009,DNB,DNB,DNB,ODI # 2901,0,0,0,0,ODI
232,DNB,v West Indies,Johannesburg,30-09-2009,2,DNB,DNB,ODI # 2904,0,0,0,0,ODI
233,34,v Australia,Vadodara,25-10-2009,2,5,Caught,ODI # 2913,46,4,0,73.91,ODI
234,124,v Australia,Nagpur,28-10-2009,1,5,Caught,ODI # 2915,107,9,3,115.88,ODI
235,71,v Australia,Delhi,31-10-2009,2,5,Not Out,ODI # 2918,95,6,0,74.73,ODI
236,26,v Australia,Mohali,02-11-2009,2,5,Caught,ODI # 2919,46,2,0,56.52,ODI
237,6,v Australia,Hyderabad,05-11-2009,2,5,Caught,ODI # 2923,15,0,0,40,ODI
